aes,wmo,id,name,instr,prov,lon,lat,elev,elevp,tz_correct,s_bul,the_geom
1096469,71908,CZXS,                                  PRINCE+GEORGE+UA,WS2:UA,BC,-122.783,53.9,601,601,-8,uscn01/czxs,01010000208A0F00001DCEB609D68D3AC15D165C751A482C41
7093GJ4,71823,CYAH,                                   LA+GRANDE+IV+UA,WS2:UA,QC,-73.683,53.75,302,302,-5,uscn01/cyah,01010000208A0F0000FBA996DE3DBA3441D6773EFD82012741
7034480,71722,CWMW,                                       MANIWAKI+UA,CON:UA,QC,-76.0,46.3,189,189,-5,uscn01/cwmw,01010000208A0F000039E6796551413641D19F5A71C91CF4C0
301222F,71119,CWSE,                              EDMONTON+STONY+PLAIN,WS2:UA,AB,-114.117,53.55,766,766,-7,uscn01/cwse,01010000208A0F0000A9BEDDF98CC132C13EA8785133012541
6016530,71845,CYPL,                                    PICKLE+LAKE+UA,WS2:UA,ON,-90.2,51.45,386,386,-6,uscn01/cypl,01010000208A0F0000736D300A172B1441664B5C50DE511141
8501910,71816,CYYR,                                          GOOSE+UA,CON:UA,NF,-60.367,53.3,36,36,-4,uscn01/cyyr,01010000208A0F000048370AA544844041D42659075B773041
8206489,71603,CWQI,                                       YARMOUTH+UA,WS2:UA,NS,-66.1,43.867,9,9,-4,uscn01/cwqi,01010000208A0F00002CE945160B8441414367DB71FF86E6C0
7103282,71907,CWPH,                                       INUKJUAK+UA,CON:UA,QC,-78.083,58.467,24,24,-5,uscn01/cyph,01010000208A0F00007F04E33D58012D41AAC05D13D3C73141
6075425,71836,CWZC,                                       MOOSONEE+UA,WS2:UA,ON,-80.65,51.267,10,10,-5,uscn01/cwzc,01010000208A0F0000FB883CF3FC0E2E4103A5893CFB221641
7113E34,71906,CYVP,                                       KUUJJUAQ+UA,CON:UA,QC,-68.417,58.117,60,60,-5,uscn01/cyvp,01010000208A0F0000BC7591A13AA136415E8705764F0F3441
1128590,73033,CWVK,VERNON UA                                         ,???:UA,BC,-119.27,50.28,379,379,-8,xxxxxx/xxxx,01010000208A0F00006718AC6756A339C12DDFF0B371791C41
72518  ,72518,KALB,"ALBANY,+ALBANY+INTERNATIONAL+AIRPORT              ",UA    ,NY,-73.802,42.748,87,88,5,smus72/kwbc,010100002040A500002C84B38A94BF3A412500DC8999FF18C1
1026278,71109,CYZT,                                     PORT+HARDY+UA,CON:UA,BC,-127.383,50.683,17,17,-8,uscn01/cyzt,01010000208A0F00006D141C73FA9C40C1A873FDF467FC2641
1192950,71945,CYYE,                                    FORT+NELSON+UA,WS2:UA,BC,-122.567,58.833,378,378,-7,uscn01/cyye,01010000208A0F000017C4739AE4EA36C1DB8CF782E67D3541
2400604,71925,CYCB,                                  CAMBRIDGE+BAY+UA,CON:UA,NU,-105.067,69.133,25,25,-7,uscn01/cycb,01010000208A0F00002466DED96AAE17C13ED44E9539F64041
2202208,71934,CYSM,                                     FORT+SMITH+UA,CON:UA,NT,-111.933,60.033,204,204,-7,uscn01/cysm,01010000208A0F0000239334E453AB2BC11131F81273483441
2202582,71957,CYEV,                                         INUVIK+UA,CON:UA,NT,-133.517,68.317,103,103,-7,uscn01/cyev,01010000208A0F0000F920A536812636C19BBF44EBE8824341
